,onehotencoder__embarked_Q,onehotencoder__embarked_S,ordinalencoder__sex,ordinalencoder__who,ordinalencoder__adult_male,ordinalencoder__embarked,remainder__survived,remainder__pclass,remainder__age,remainder__sibsp,remainder__parch,remainder__fare
0,0.0,1.0,1.0,1.0,1.0,2.0,0,3,22.0,1,0,7.25
1,0.0,0.0,0.0,2.0,0.0,0.0,1,1,38.0,1,0,71.2833
2,0.0,1.0,0.0,2.0,0.0,2.0,1,3,26.0,0,0,7.925
3,0.0,1.0,0.0,2.0,0.0,2.0,1,1,35.0,1,0,53.1
4,0.0,1.0,1.0,1.0,1.0,2.0,0,3,35.0,0,0,8.05
5,1.0,0.0,1.0,1.0,1.0,1.0,0,3,35.0,0,0,8.4583
6,0.0,1.0,1.0,1.0,1.0,2.0,0,1,54.0,0,0,51.8625
7,0.0,1.0,1.0,0.0,0.0,2.0,0,3,2.0,3,1,21.075
8,0.0,1.0,0.0,2.0,0.0,2.0,1,3,27.0,0,2,11.1333
9,0.0,0.0,0.0,0.0,0.0,0.0,1,2,14.0,1,0,30.0708
10,0.0,1.0,0.0,0.0,0.0,2.0,1,3,4.0,1,1,16.7
11,0.0,1.0,0.0,2.0,0.0,2.0,1,1,58.0,0,0,26.55
12,0.0,1.0,1.0,1.0,1.0,2.0,0,3,20.0,0,0,8.05
13,0.0,1.0,1.0,1.0,1.0,2.0,0,3,39.0,1,5,31.275
14,0.0,1.0,0.0,0.0,0.0,2.0,0,3,14.0,0,0,7.8542
15,0.0,1.0,0.0,2.0,0.0,2.0,1,2,55.0,0,0,16.0
16,1.0,0.0,1.0,0.0,0.0,1.0,0,3,2.0,4,1,29.125
17,0.0,1.0,1.0,1.0,1.0,2.0,1,2,2.0,0,0,13.0
18,0.0,1.0,0.0,2.0,0.0,2.0,0,3,31.0,1,0,18.0
19,0.0,0.0,0.0,2.0,0.0,0.0,1,3,31.0,0,0,7.225
20,0.0,1.0,1.0,1.0,1.0,2.0,0,2,35.0,0,0,26.0
21,0.0,1.0,1.0,1.0,1.0,2.0,1,2,34.0,0,0,13.0
22,1.0,0.0,0.0,0.0,0.0,1.0,1,3,15.0,0,0,8.0292
23,0.0,1.0,1.0,1.0,1.0,2.0,1,1,28.0,0,0,35.5
24,0.0,1.0,0.0,0.0,0.0,2.0,0,3,8.0,3,1,21.075
25,0.0,1.0,0.0,2.0,0.0,2.0,1,3,38.0,1,5,31.3875
26,0.0,0.0,1.0,1.0,1.0,0.0,0,3,38.0,0,0,7.225
27,0.0,1.0,1.0,1.0,1.0,2.0,0,1,19.0,3,2,263.0
28,1.0,0.0,0.0,2.0,0.0,1.0,1,3,19.0,0,0,7.8792
29,0.0,1.0,1.0,1.0,1.0,2.0,0,3,19.0,0,0,7.8958
30,0.0,0.0,1.0,1.0,1.0,0.0,0,1,40.0,0,0,27.7208
31,0.0,0.0,0.0,2.0,0.0,0.0,1,1,40.0,1,0,146.5208
32,1.0,0.0,0.0,2.0,0.0,1.0,1,3,40.0,0,0,7.75
33,0.0,1.0,1.0,1.0,1.0,2.0,0,2,66.0,0,0,10.5
34,0.0,0.0,1.0,1.0,1.0,0.0,0,1,28.0,1,0,82.1708
35,0.0,1.0,1.0,1.0,1.0,2.0,0,1,42.0,1,0,52.0
36,0.0,0.0,1.0,1.0,1.0,0.0,1,3,42.0,0,0,7.2292
37,0.0,1.0,1.0,1.0,1.0,2.0,0,3,21.0,0,0,8.05
38,0.0,1.0,0.0,2.0,0.0,2.0,0,3,18.0,2,0,18.0
39,0.0,0.0,0.0,0.0,0.0,0.0,1,3,14.0,1,0,11.2417
40,0.0,1.0,0.0,2.0,0.0,2.0,0,3,40.0,1,0,9.475
41,0.0,1.0,0.0,2.0,0.0,2.0,0,2,27.0,1,0,21.0
42,0.0,0.0,1.0,1.0,1.0,0.0,0,3,27.0,0,0,7.8958
43,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3.0,1,2,41.5792
44,1.0,0.0,0.0,2.0,0.0,1.0,1,3,19.0,0,0,7.8792
45,0.0,1.0,1.0,1.0,1.0,2.0,0,3,19.0,0,0,8.05
46,1.0,0.0,1.0,1.0,1.0,1.0,0,3,19.0,1,0,15.5
47,0.0,0.0,1.0,1.0,1.0,0.0,0,3,19.0,2,0,21.6792
48,0.0,1.0,0.0,2.0,0.0,2.0,0,3,18.0,1,0,17.8
49,0.0,1.0,1.0,0.0,0.0,2.0,0,3,7.0,4,1,39.6875
50,0.0,1.0,1.0,1.0,1.0,2.0,0,3,21.0,0,0,7.8
51,0.0,0.0,0.0,2.0,0.0,0.0,1,1,49.0,1,0,76.7292
52,0.0,1.0,0.0,2.0,0.0,2.0,1,2,29.0,1,0,26.0
53,0.0,0.0,1.0,1.0,1.0,0.0,0,1,65.0,0,1,61.9792
54,0.0,1.0,1.0,1.0,1.0,2.0,1,1,65.0,0,0,35.5
55,0.0,1.0,0.0,2.0,0.0,2.0,1,2,21.0,0,0,10.5
56,0.0,0.0,1.0,1.0,1.0,0.0,0,3,28.5,0,0,7.2292
57,0.0,1.0,0.0,0.0,0.0,2.0,1,2,5.0,1,2,27.75
58,0.0,1.0,1.0,0.0,0.0,2.0,0,3,11.0,5,2,46.9
59,0.0,0.0,1.0,1.0,1.0,0.0,0,3,22.0,0,0,7.2292
60,0.0,1.0,1.0,1.0,1.0,2.0,0,1,45.0,1,0,83.475
61,0.0,1.0,1.0,0.0,0.0,2.0,0,3,4.0,3,2,27.9
62,0.0,0.0,1.0,1.0,1.0,0.0,0,1,4.0,0,0,27.7208
63,0.0,0.0,1.0,1.0,1.0,0.0,1,3,4.0,1,1,15.2458
64,0.0,1.0,0.0,2.0,0.0,2.0,1,2,29.0,0,0,10.5
65,0.0,1.0,1.0,1.0,1.0,2.0,0,3,19.0,0,0,8.1583
66,0.0,1.0,0.0,2.0,0.0,2.0,1,3,17.0,4,2,7.925
67,0.0,1.0,1.0,1.0,1.0,2.0,0,3,26.0,2,0,8.6625
68,0.0,1.0,1.0,1.0,1.0,2.0,0,2,32.0,0,0,10.5
69,0.0,1.0,0.0,2.0,0.0,2.0,0,3,16.0,5,2,46.9
70,0.0,1.0,1.0,1.0,1.0,2.0,0,2,21.0,0,0,73.5
71,0.0,0.0,1.0,1.0,1.0,0.0,0,3,26.0,1,0,14.4542
72,0.0,1.0,1.0,1.0,1.0,2.0,1,3,32.0,0,0,56.4958
73,0.0,1.0,1.0,1.0,1.0,2.0,0,3,25.0,0,0,7.65
74,0.0,1.0,1.0,0.0,0.0,2.0,1,2,0.83,0,2,29.0
75,0.0,1.0,0.0,2.0,0.0,2.0,1,3,30.0,0,0,12.475
76,0.0,1.0,1.0,1.0,1.0,2.0,0,3,22.0,0,0,9.0
77,0.0,1.0,1.0,1.0,1.0,2.0,1,3,29.0,0,0,9.5
78,1.0,0.0,0.0,2.0,0.0,1.0,1,3,29.0,0,0,7.7875
79,0.0,1.0,1.0,1.0,1.0,2.0,0,1,28.0,0,0,47.1
80,0.0,1.0,0.0,2.0,0.0,2.0,1,2,17.0,0,0,10.5
81,0.0,1.0,0.0,2.0,0.0,2.0,1,3,33.0,3,0,15.85
82,0.0,1.0,1.0,1.0,1.0,2.0,0,3,16.0,1,3,34.375
83,0.0,1.0,0.0,2.0,0.0,2.0,1,1,23.0,3,2,263.0
84,0.0,1.0,1.0,1.0,1.0,2.0,0,3,24.0,0,0,8.05
85,0.0,1.0,1.0,1.0,1.0,2.0,0,3,29.0,0,0,8.05
86,0.0,1.0,1.0,1.0,1.0,2.0,0,3,20.0,0,0,7.8542
87,0.0,1.0,1.0,1.0,1.0,2.0,0,1,46.0,1,0,61.175
88,0.0,1.0,1.0,1.0,1.0,2.0,0,3,26.0,1,2,20.575
89,0.0,1.0,1.0,1.0,1.0,2.0,0,3,59.0,0,0,7.25
90,0.0,0.0,1.0,1.0,1.0,0.0,0,1,71.0,0,0,34.6542
91,0.0,0.0,1.0,1.0,1.0,0.0,1,1,23.0,0,1,63.3583
92,0.0,1.0,0.0,2.0,0.0,2.0,1,2,34.0,0,1,23.0
93,0.0,1.0,1.0,1.0,1.0,2.0,0,2,34.0,1,0,26.0
94,0.0,1.0,0.0,2.0,0.0,2.0,0,3,28.0,0,0,7.8958
95,0.0,1.0,1.0,1.0,1.0,2.0,0,1,21.0,0,1,77.2875
96,0.0,1.0,1.0,1.0,1.0,2.0,0,3,33.0,0,0,8.6542
97,0.0,1.0,1.0,1.0,1.0,2.0,0,3,37.0,2,0,7.925
98,0.0,1.0,1.0,1.0,1.0,2.0,0,3,28.0,0,0,7.8958
99,0.0,1.0,0.0,2.0,0.0,2.0,1,3,21.0,0,0,7.65
100,0.0,1.0,1.0,1.0,1.0,2.0,1,3,21.0,0,0,7.775
101,0.0,1.0,1.0,1.0,1.0,2.0,0,3,38.0,0,0,7.8958
102,1.0,0.0,0.0,2.0,0.0,1.0,1,3,38.0,1,0,24.15
103,0.0,1.0,1.0,1.0,1.0,2.0,0,1,47.0,0,0,52.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0,3,14.5,1,0,14.4542
105,0.0,1.0,1.0,1.0,1.0,2.0,0,3,22.0,0,0,8.05
106,0.0,1.0,0.0,2.0,0.0,2.0,0,3,20.0,1,0,9.825
107,0.0,0.0,0.0,2.0,0.0,0.0,0,3,17.0,0,0,14.4583
108,0.0,1.0,1.0,1.0,1.0,2.0,0,3,21.0,0,0,7.925
109,1.0,0.0,1.0,1.0,1.0,1.0,0,3,70.5,0,0,7.75
110,0.0,1.0,1.0,1.0,1.0,2.0,0,2,29.0,1,0,21.0
111,0.0,0.0,1.0,1.0,1.0,0.0,0,1,24.0,0,1,247.5208
112,0.0,1.0,0.0,0.0,0.0,2.0,0,3,2.0,4,2,31.275
113,0.0,1.0,1.0,1.0,1.0,2.0,0,2,21.0,2,0,73.5
114,0.0,0.0,1.0,1.0,1.0,0.0,0,2,32.5,1,0,30.0708
115,0.0,1.0,0.0,2.0,0.0,2.0,1,2,32.5,0,0,13.0
116,0.0,1.0,1.0,1.0,1.0,2.0,0,1,54.0,0,1,77.2875
117,0.0,0.0,1.0,0.0,0.0,0.0,1,3,12.0,1,0,11.2417
118,1.0,0.0,1.0,1.0,1.0,1.0,0,3,12.0,0,0,7.75
119,0.0,1.0,1.0,1.0,1.0,2.0,1,3,24.0,0,0,7.1417
120,0.0,0.0,0.0,2.0,0.0,0.0,1,3,24.0,1,1,22.3583
121,0.0,1.0,1.0,1.0,1.0,2.0,0,3,45.0,0,0,6.975
